market_id,condition_id,wallet,category,timestamp,timestamp_utc,side,outcome,outcome_index,asset_id,price,size_shares,notional_usdc,transaction_hash,source_file,source_row
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x9620ec195fa46d35141150466d84a96dc7ad5052,Crypto,1784994340,2026-07-25T15:45:40+00:00,BUY,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.0739999631,27.027027,1.9999990007027035,0x55f810b739c94d2d88d2ed4136de09f86079eb4b0a78d65605670c97380fcf95,trades_3029440_0.json,23
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x510f4963b66b1b18505faab74b0bb943d1dda43c,Crypto,1784994340,2026-07-25T15:45:40+00:00,SELL,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.0739999631,27.027027,1.9999990007027035,0x55f810b739c94d2d88d2ed4136de09f86079eb4b0a78d65605670c97380fcf95,trades_3029440_0.json,24
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x4ad4aa15ca7c8746e38f34d16bb04cc733621704,Crypto,1784989966,2026-07-25T14:32:46+00:00,BUY,No,1,108663457396485825789306998137659084561349201649377958127574381186033559773294,0.968,132.0,127.776,0xfe980c87d797202b012330cae2ebfe60967d62946eaf21a66dda9bd6bd56dfa4,trades_3029440_0.json,25
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0xc4d5a24a240ec9f52669e3251e0473fd0c5687cf,Crypto,1784989966,2026-07-25T14:32:46+00:00,BUY,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.032,127.0,4.064,0xfe980c87d797202b012330cae2ebfe60967d62946eaf21a66dda9bd6bd56dfa4,trades_3029440_0.json,26
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x489a6942253203fd0c5e786c230419a02840fff2,Crypto,1784989966,2026-07-25T14:32:46+00:00,BUY,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.032,5.0,0.16,0xfe980c87d797202b012330cae2ebfe60967d62946eaf21a66dda9bd6bd56dfa4,trades_3029440_0.json,27
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x1e8efeed2bbfe3c93643b0d960f8a5466f410cc4,Crypto,1784985537,2026-07-25T13:18:57+00:00,BUY,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.0424,500.0,21.2,0xb82c3d6e497e529a59bbd9136672eb974b2fa44a5853386363733693e7262806,trades_3029440_0.json,28
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0xaa81efdc21ae5511553e76d60fb1a845f999aaf7,Crypto,1784985537,2026-07-25T13:18:57+00:00,SELL,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.043,200.0,8.6,0xb82c3d6e497e529a59bbd9136672eb974b2fa44a5853386363733693e7262806,trades_3029440_0.json,29
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x4ffe49ba2a4cae123536a8af4fda48faeb609f71,Crypto,1784985537,2026-07-25T13:18:57+00:00,SELL,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.042,300.0,12.600000000000001,0xb82c3d6e497e529a59bbd9136672eb974b2fa44a5853386363733693e7262806,trades_3029440_0.json,30
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x18e157e46f9c7386cea37877e38a039bb169a55a,Crypto,1784982543,2026-07-25T12:29:03+00:00,BUY,No,1,108663457396485825789306998137659084561349201649377958127574381186033559773294,0.97,2200.0,2134.0,0xa70caf6bcf5e1e352b14fd822078f93ffb7c1e9095fc2b8676b89dfa8c663b7f,trades_3029440_0.json,31
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0xaa81efdc21ae5511553e76d60fb1a845f999aaf7,Crypto,1784982543,2026-07-25T12:29:03+00:00,BUY,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.03,200.0,6.0,0xa70caf6bcf5e1e352b14fd822078f93ffb7c1e9095fc2b8676b89dfa8c663b7f,trades_3029440_0.json,32
